OrderID,CustomerID,EmployeeID,OrderDate,ShipperID
10248 ,90 ,5 ,7/4/1996 ,3 
10249 ,81 ,6 ,7/5/1996 ,1 
10250 ,34 ,4 ,7/8/1996 ,2 
10251 ,84 ,3 ,7/8/1996 ,1 
10252 ,76 ,4 ,7/9/1996 ,2 
10253 ,34 ,3 ,7/10/1996 ,2 
10254 ,14 ,5 ,7/11/1996 ,2 
10255 ,68 ,9 ,7/12/1996 ,3 
10256 ,88 ,3 ,7/15/1996 ,2 
10257 ,35 ,4 ,7/16/1996 ,3 
10258 ,20 ,1 ,7/17/1996 ,1 
10259 ,13 ,4 ,7/18/1996 ,3 
10260 ,55 ,4 ,7/19/1996 ,1 
10261 ,61 ,4 ,7/19/1996 ,2 
10262 ,65 ,8 ,7/22/1996 ,3 
10263 ,20 ,9 ,7/23/1996 ,3 
10264 ,24 ,6 ,7/24/1996 ,3 
10265 ,7 ,2 ,7/25/1996 ,1 
10266 ,87 ,3 ,7/26/1996 ,3 
10267 ,25 ,4 ,7/29/1996 ,1 
10268 ,33 ,8 ,7/30/1996 ,3 
10269 ,89 ,5 ,7/31/1996 ,1 
10270 ,87 ,1 ,8/1/1996 ,1 
10271 ,75 ,6 ,8/1/1996 ,2 
10272 ,65 ,6 ,8/2/1996 ,2 
10273 ,63 ,3 ,8/5/1996 ,3 
10274 ,85 ,6 ,8/6/1996 ,1 
10275 ,49 ,1 ,8/7/1996 ,1 
10276 ,80 ,8 ,8/8/1996 ,3 
10277 ,52 ,2 ,8/9/1996 ,3 
10278 ,5 ,8 ,8/12/1996 ,2 
10279 ,44 ,8 ,8/13/1996 ,2 
10280 ,5 ,2 ,8/14/1996 ,1 
10281 ,69 ,4 ,8/14/1996 ,1 
10282 ,69 ,4 ,8/15/1996 ,1 
10283 ,46 ,3 ,8/16/1996 ,3 
10284 ,44 ,4 ,8/19/1996 ,1 
10285 ,63 ,1 ,8/20/1996 ,2 
10286 ,63 ,8 ,8/21/1996 ,3 
10287 ,67 ,8 ,8/22/1996 ,3 
10288 ,66 ,4 ,8/23/1996 ,1 
10289 ,11 ,7 ,8/26/1996 ,3 
10290 ,15 ,8 ,8/27/1996 ,1 
10291 ,61 ,6 ,8/27/1996 ,2 
10292 ,81 ,1 ,8/28/1996 ,2 
10293 ,80 ,1 ,8/29/1996 ,3 
10294 ,65 ,4 ,8/30/1996 ,2 
10295 ,85 ,2 ,9/2/1996 ,2 
10296 ,46 ,6 ,9/3/1996 ,1 
10297 ,7 ,5 ,9/4/1996 ,2 
